level,up,stay,down,requireCoin,ExpectedGold
318,820,6950,2230,16134,524820.13
319,820,6905,2275,16147,530747.74
320,820,6860,2320,16160,536636.44
321,820,6815,2365,16173,542486.71
322,820,6770,2410,16186,548299
323,820,6725,2455,16199,554073.8
324,820,6680,2500,16212,559811.56
325,820,6635,2545,16225,565512.73
326,820,6590,2590,16238,571177.76
327,820,6545,2635,16251,576807.1
328,820,6500,2680,16264,582401.18
329,820,6455,2725,16277,587960.42
330,820,6410,2770,16290,593485.26
331,820,6365,2815,16303,598976.09
332,820,6320,2860,16316,604433.35
333,820,6275,2905,16329,609857.42
334,820,6230,2950,16342,615248.71
335,820,6185,2995,16355,620607.61
336,820,6140,3040,16368,625934.51
337,820,6095,3085,16381,631229.78
338,820,6050,3130,16394,636493.81
339,820,6005,3175,16407,641726.96
340,820,5960,3220,16420,646929.6
341,820,5915,3265,16433,652102.08
342,820,5870,3310,16446,657244.77
343,820,5825,3355,16459,662358
344,820,5780,3400,16472,667442.13
345,820,5735,3445,16485,672497.48
346,820,5690,3490,16498,677524.4
347,820,5645,3535,16511,682523.21
348,820,5600,3580,16524,687494.24
349,820,5555,3625,16537,692437.8
350,820,5510,3670,16550,697354.21
351,820,5465,3715,16563,702243.78
352,820,5420,3760,16576,707106.82
353,820,5375,3805,16589,711943.61
354,820,5330,3850,16602,716754.47
355,820,5285,3895,16615,721539.68
356,820,5240,3940,16628,726299.53
357,820,5195,3985,16641,731034.3
358,820,5150,4030,16654,735744.27
359,820,5105,4075,16667,740429.73
360,820,5060,4120,16680,745090.93
361,820,5015,4165,16693,749728.15
362,820,4970,4210,16706,754341.65
363,820,4925,4255,16719,758931.7
364,820,4880,4300,16732,763498.53
365,820,4835,4345,16745,768042.42
366,820,4790,4390,16758,772563.61
367,820,4745,4435,16771,777062.35
368,820,4700,4480,16784,781538.86
369,820,4655,4525,16797,785993.41
370,820,4610,4570,16810,790426.21
371,820,4565,4615,16823,794837.51
372,820,4520,4660,16836,799227.53
373,820,4475,4705,16849,803596.49
374,820,4430,4750,16862,807944.63
375,820,4385,4795,16875,812272.15
376,820,4340,4840,16888,816579.28
377,820,4295,4885,16901,820866.22
378,820,4250,4930,16914,825133.2
379,820,4205,4975,16927,829380.41
380,820,4160,5020,16940,833608.06
381,820,4115,5065,16953,837816.36
382,820,4070,5110,16966,842005.5
383,820,4025,5155,16979,846175.67
384,820,3980,5200,16992,850327.08
385,820,3935,5245,17005,854459.92
386,820,3890,5290,17018,858574.36
387,820,3845,5335,17031,862670.61
388,820,3800,5380,17044,866748.83
389,820,3755,5425,17057,870809.23
390,820,3710,5470,17070,874851.96
391,820,3665,5515,17083,878877.21
392,820,3620,5560,17096,882885.16
393,820,3575,5605,17109,886875.97
394,820,3530,5650,17122,890849.82
395,820,3485,5695,17135,894806.87
396,820,3440,5740,17148,898747.29
397,820,3395,5785,17161,902671.24
398,820,3350,5830,17174,906578.88
399,820,3305,5875,17187,910470.37
400,820,3260,5920,17200,914345.87
401,780,7545,1675,21363,631662.67
402,780,7500,1720,21376,640484.76
403,780,7455,1765,21389,649231.82
404,780,7410,1810,21402,657904.9
405,780,7365,1855,21415,666505.02
406,780,7320,1900,21428,675033.18
407,780,7275,1945,21441,683490.39
408,780,7230,1990,21454,691877.62
409,780,7185,2035,21467,700195.85
410,780,7140,2080,21480,708446.03
411,780,7095,2125,21493,716629.11
412,780,7050,2170,21506,724746.01
413,780,7005,2215,21519,732797.65
414,780,6960,2260,21532,740784.93
415,780,6915,2305,21545,748708.73
416,780,6870,2350,21558,756569.93
417,780,6825,2395,21571,764369.38
418,780,6780,2440,21584,772107.94
419,780,6735,2485,21597,779786.43
420,780,6690,2530,21610,787405.67
421,780,6645,2575,21623,794966.48
422,780,6600,2620,21636,802469.63
423,780,6555,2665,21649,809915.91
424,780,6510,2710,21662,817306.09
425,780,6465,2755,21675,824640.92
426,780,6420,2800,21688,831921.15
427,780,6375,2845,21701,839147.49
428,780,6330,2890,21714,846320.68
429,780,6285,2935,21727,853441.41
430,780,6240,2980,21740,860510.38
431,780,6195,3025,21753,867528.27
432,780,6150,3070,21766,874495.76
433,780,6105,3115,21779,881413.5
434,780,6060,3160,21792,888282.15
435,780,6015,3205,21805,895102.33
436,780,5970,3250,21818,901874.69
437,780,5925,3295,21831,908599.84
438,780,5880,3340,21844,915278.38
439,780,5835,3385,21857,921910.92
440,780,5790,3430,21870,928498.04
441,780,5745,3475,21883,935040.32
442,780,5700,3520,21896,941538.32
443,780,5655,3565,21909,947992.62
444,780,5610,3610,21922,954403.76
445,780,5565,3655,21935,960772.28
446,780,5520,3700,21948,967098.71
447,780,5475,3745,21961,973383.59
448,780,5430,3790,21974,979627.41
449,780,5385,3835,21987,985830.7
450,780,5340,3880,22000,991993.95
451,780,5295,3925,22013,998117.66
452,780,5250,3970,22026,1004202.3
453,780,5205,4015,22039,1010248.36
454,780,5160,4060,22052,1016256.29
455,780,5115,4105,22065,1022226.57
456,780,5070,4150,22078,1028159.65
457,780,5025,4195,22091,1034055.96
458,780,4980,4240,22104,1039915.96
459,780,4935,4285,22117,1045740.08
460,780,4890,4330,22130,1051528.74
461,780,4845,4375,22143,1057282.36
462,780,4800,4420,22156,1063001.35
463,780,4755,4465,22169,1068686.13
464,780,4710,4510,22182,1074337.08
465,780,4665,4555,22195,1079954.61
466,780,4620,4600,22208,1085539.11
467,780,4575,4645,22221,1091090.95
468,780,4530,4690,22234,1096610.51
469,780,4485,4735,22247,1102098.17
470,780,4440,4780,22260,1107554.28
471,780,4395,4825,22273,1112979.22
472,780,4350,4870,22286,1118373.32
473,780,4305,4915,22299,1123736.95
474,780,4260,4960,22312,1129070.44
475,780,4215,5005,22325,1134374.14
476,780,4170,5050,22338,1139648.38
477,780,4125,5095,22351,1144893.48
478,780,4080,5140,22364,1150109.78
479,780,4035,5185,22377,1155297.58
480,780,3990,5230,22390,1160457.21
481,780,3945,5275,22403,1165588.97
482,780,3900,5320,22416,1170693.18
483,780,3855,5365,22429,1175770.12
484,780,3810,5410,22442,1180820.11
485,780,3765,5455,22455,1185843.42
486,780,3720,5500,22468,1190840.36
487,780,3675,5545,22481,1195811.2
488,780,3630,5590,22494,1200756.22
489,780,3585,5635,22507,1205675.7
490,780,3540,5680,22520,1210569.91
491,780,3495,5725,22533,1215439.13
492,780,3450,5770,22546,1220283.61
493,780,3405,5815,22559,1225103.61
494,780,3360,5860,22572,1229899.4
495,780,3315,5905,22585,1234671.23
496,780,3270,5950,22598,1239419.34
497,780,3225,5995,22611,1244143.99
498,780,3180,6040,22624,1248845.42
499,780,3135,6085,22637,1253523.87
500,780,3090,6130,22650,1258179.57
501,740,7375,1885,26813,885490.74
502,740,7330,1930,26826,896298.27
503,740,7285,1975,26839,907001.34
504,740,7240,2020,26852,917601.55
505,740,7195,2065,26865,928100.52
506,740,7150,2110,26878,938499.8
507,740,7105,2155,26891,948800.94
508,740,7060,2200,26904,959005.46
509,740,7015,2245,26917,969114.84
510,740,6970,2290,26930,979130.55
511,740,6925,2335,26943,989054.02
512,740,6880,2380,26956,998886.66
513,740,6835,2425,26969,1008629.86
514,740,6790,2470,26982,1018284.97
515,740,6745,2515,26995,1027853.33
516,740,6700,2560,27008,1037336.25
517,740,6655,2605,27021,1046735.01
518,740,6610,2650,27034,1056050.88
519,740,6565,2695,27047,1065285.09
520,740,6520,2740,27060,1074438.87
521,740,6475,2785,27073,1083513.4
522,740,6430,2830,27086,1092509.86
523,740,6385,2875,27099,1101429.39
524,740,6340,2920,27112,1110273.13
525,740,6295,2965,27125,1119042.17
526,740,6250,3010,27138,1127737.62
527,740,6205,3055,27151,1136360.54
528,740,6160,3100,27164,1144911.97
529,740,6115,3145,27177,1153392.95
530,740,6070,3190,27190,1161804.47
531,740,6025,3235,27203,1170147.54
532,740,5980,3280,27216,1178423.13
533,740,5935,3325,27229,1186632.2
534,740,5890,3370,27242,1194775.67
535,740,5845,3415,27255,1202854.48
536,740,5800,3460,27268,1210869.52
537,740,5755,3505,27281,1218821.69
538,740,5710,3550,27294,1226711.85
539,740,5665,3595,27307,1234540.87
540,740,5620,3640,27320,1242309.59
541,740,5575,3685,27333,1250018.82
542,740,5530,3730,27346,1257669.39
543,740,5485,3775,27359,1265262.09
544,740,5440,3820,27372,1272797.7
545,740,5395,3865,27385,1280277
546,740,5350,3910,27398,1287700.74
547,740,5305,3955,27411,1295069.65
548,740,5260,4000,27424,1302384.48
549,740,5215,4045,27437,1309645.94
550,740,5170,4090,27450,1316854.73
551,740,5125,4135,27463,1324011.55
552,740,5080,4180,27476,1331117.08
553,740,5035,4225,27489,1338171.98
554,740,4990,4270,27502,1345176.91
555,740,4945,4315,27515,1352132.53
556,740,4900,4360,27528,1359039.46
557,740,4855,4405,27541,1365898.33
558,740,4810,4450,27554,1372709.75
559,740,4765,4495,27567,1379474.33
560,740,4720,4540,27580,1386192.67
561,740,4675,4585,27593,1392865.34
562,740,4630,4630,27606,1399492.93
563,740,4585,4675,27619,1406075.98
564,740,4540,4720,27632,1412615.07
565,740,4495,4765,27645,1419110.74
566,740,4450,4810,27658,1425563.52
567,740,4405,4855,27671,1431973.95
568,740,4360,4900,27684,1438342.54
569,740,4315,4945,27697,1444669.81
570,740,4270,4990,27710,1450956.25
571,740,4225,5035,27723,1457202.37
572,740,4180,5080,27736,1463408.66
573,740,4135,5125,27749,1469575.58
574,740,4090,5170,27762,1475703.62
575,740,4045,5215,27775,1481793.24
576,740,4000,5260,27788,1487844.89
577,740,3955,5305,27801,1493859.03
578,740,3910,5350,27814,1499836.1
579,740,3865,5395,27827,1505776.54
580,740,3820,5440,27840,1511680.77
581,740,3775,5485,27853,1517549.22
582,740,3730,5530,27866,1523382.3
583,740,3685,5575,27879,1529180.43
584,740,3640,5620,27892,1534944
585,740,3595,5665,27905,1540673.42
586,740,3550,5710,27918,1546369.08
587,740,3505,5755,27931,1552031.36
588,740,3460,5800,27944,1557660.64
589,740,3415,5845,27957,1563257.29
590,740,3370,5890,27970,1568821.7
591,740,3325,5935,27983,1574354.2
592,740,3280,5980,27996,1579855.18
593,740,3235,6025,28009,1585324.97
594,740,3190,6070,28022,1590763.92
595,740,3145,6115,28035,1596172.38
596,740,3100,6160,28048,1601550.68
597,740,3055,6205,28061,1606899.16
598,740,3010,6250,28074,1612218.14
599,740,2965,6295,28087,1617507.94
600,740,2920,6340,28100,1622768.88
601,700,7205,2095,32263,1179390.99
602,700,7160,2140,32276,1191910.68
603,700,7115,2185,32289,1204295.66
604,700,7070,2230,32302,1216548.26
605,700,7025,2275,32315,1228670.75
606,700,6980,2320,32328,1240665.34
607,700,6935,2365,32341,1252534.22
608,700,6890,2410,32354,1264279.51
609,700,6845,2455,32367,1275903.31
610,700,6800,2500,32380,1287407.65
611,700,6755,2545,32393,1298794.55
612,700,6710,2590,32406,1310065.95
613,700,6665,2635,32419,1321223.79
614,700,6620,2680,32432,1332269.93
615,700,6575,2725,32445,1343206.23
616,700,6530,2770,32458,1354034.49
617,700,6485,2815,32471,1364756.47
618,700,6440,2860,32484,1375373.91
619,700,6395,2905,32497,1385888.49
620,700,6350,2950,32510,1396301.88
621,700,6305,2995,32523,1406615.7
622,700,6260,3040,32536,1416831.55
623,700,6215,3085,32549,1426950.99
624,700,6170,3130,32562,1436975.53
625,700,6125,3175,32575,1446906.69
626,700,6080,3220,32588,1456745.92
627,700,6035,3265,32601,1466494.67
628,700,5990,3310,32614,1476154.34
629,700,5945,3355,32627,1485726.32
630,700,5900,3400,32640,1495211.94
631,700,5855,3445,32653,1504612.55
632,700,5810,3490,32666,1513929.44
633,700,5765,3535,32679,1523163.88
634,700,5720,3580,32692,1532317.13
635,700,5675,3625,32705,1541390.4
636,700,5630,3670,32718,1550384.89
637,700,5585,3715,32731,1559301.79
638,700,5540,3760,32744,1568142.24
639,700,5495,3805,32757,1576907.37
640,700,5450,3850,32770,1585598.31
641,700,5405,3895,32783,1594216.13
642,700,5360,3940,32796,1602761.9
643,700,5315,3985,32809,1611236.67
644,700,5270,4030,32822,1619641.46
645,700,5225,4075,32835,1627977.29
646,700,5180,4120,32848,1636245.14
647,700,5135,4165,32861,1644445.99
648,700,5090,4210,32874,1652580.77
649,700,5045,4255,32887,1660650.44
650,700,5000,4300,32900,1668655.9
651,700,4955,4345,32913,1676598.06
652,700,4910,4390,32926,1684477.8
653,700,4865,4435,32939,1692295.99
654,700,4820,4480,32952,1700053.47
655,700,4775,4525,32965,1707751.09
656,700,4730,4570,32978,1715389.66
657,700,4685,4615,32991,1722970
658,700,4640,4660,33004,1730492.88
659,700,4595,4705,33017,1737959.1
660,700,4550,4750,33030,1745369.41
661,700,4505,4795,33043,1752724.57
662,700,4460,4840,33056,1760025.31
663,700,4415,4885,33069,1767272.35
664,700,4370,4930,33082,1774466.41
665,700,4325,4975,33095,1781608.18
666,700,4280,5020,33108,1788698.36
667,700,4235,5065,33121,1795737.61
668,700,4190,5110,33134,1802726.6
669,700,4145,5155,33147,1809665.98
670,700,4100,5200,33160,1816556.4
671,700,4055,5245,33173,1823398.48
672,700,4010,5290,33186,1830192.83
673,700,3965,5335,33199,1836940.08
674,700,3920,5380,33212,1843640.81
675,700,3875,5425,33225,1850295.62
676,700,3830,5470,33238,1856905.08
677,700,3785,5515,33251,1863469.77
678,700,3740,5560,33264,1869990.24
679,700,3695,5605,33277,1876467.04
680,700,3650,5650,33290,1882900.71
681,700,3605,5695,33303,1889291.8
682,700,3560,5740,33316,1895640.81
683,700,3515,5785,33329,1901948.26
684,700,3470,5830,33342,1908214.67
685,700,3425,5875,33355,1914440.52
686,700,3380,5920,33368,1920626.32
687,700,3335,5965,33381,1926772.54
688,700,3290,6010,33394,1932879.65
689,700,3245,6055,33407,1938948.13
690,700,3200,6100,33420,1944978.44
691,700,3155,6145,33433,1950971.03
692,700,3110,6190,33446,1956926.34
693,700,3065,6235,33459,1962844.81
694,700,3020,6280,33472,1968726.88
695,700,2975,6325,33485,1974572.97
696,700,2930,6370,33498,1980383.5
697,700,2885,6415,33511,1986158.87
698,700,2840,6460,33524,1991899.51
699,700,2795,6505,33537,1997605.8
700,700,2750,6550,33550,2003278.14
701,660,7035,2305,37713,1511786.24
702,660,6990,2350,37726,1525637.82
703,660,6945,2395,37739,1539325.89
704,660,6900,2440,37752,1552853.53
705,660,6855,2485,37765,1566223.72
706,660,6810,2530,37778,1579439.41
707,660,6765,2575,37791,1592503.46
708,660,6720,2620,37804,1605418.65
709,660,6675,2665,37817,1618187.71
710,660,6630,2710,37830,1630813.33
711,660,6585,2755,37843,1643298.09
712,660,6540,2800,37856,1655644.55
713,660,6495,2845,37869,1667855.19
714,660,6450,2890,37882,1679932.45
715,660,6405,2935,37895,1691878.7
716,660,6360,2980,37908,1703696.25
717,660,6315,3025,37921,1715387.39
718,660,6270,3070,37934,1726954.32
719,660,6225,3115,37947,1738399.21
720,660,6180,3160,37960,1749724.18
721,660,6135,3205,37973,1760931.3
722,660,6090,3250,37986,1772022.6
723,660,6045,3295,37999,1783000.06
724,660,6000,3340,38012,1793865.6
725,660,5955,3385,38025,1804621.14
726,660,5910,3430,38038,1815268.51
727,660,5865,3475,38051,1825809.53
728,660,5820,3520,38064,1836245.98
729,660,5775,3565,38077,1846579.58
730,660,5730,3610,38090,1856812.03
731,660,5685,3655,38103,1866944.99
732,660,5640,3700,38116,1876980.09
733,660,5595,3745,38129,1886918.92
734,660,5550,3790,38142,1896763.03
735,660,5505,3835,38155,1906513.95
736,660,5460,3880,38168,1916173.17
737,660,5415,3925,38181,1925742.14
738,660,5370,3970,38194,1935222.3
739,660,5325,4015,38207,1944615.06
740,660,5280,4060,38220,1953921.77
741,660,5235,4105,38233,1963143.78
742,660,5190,4150,38246,1972282.41
743,660,5145,4195,38259,1981338.95
744,660,5100,4240,38272,1990314.65
745,660,5055,4285,38285,1999210.77
746,660,5010,4330,38298,2008028.5
747,660,4965,4375,38311,2016769.04
748,660,4920,4420,38324,2025433.56
749,660,4875,4465,38337,2034023.18
750,660,4830,4510,38350,2042539.04
751,660,4785,4555,38363,2050982.23
752,660,4740,4600,38376,2059353.82
753,660,4695,4645,38389,2067654.87
754,660,4650,4690,38402,2075886.42
755,660,4605,4735,38415,2084049.47
756,660,4560,4780,38428,2092145.02
757,660,4515,4825,38441,2100174.05
758,660,4470,4870,38454,2108137.51
