level,up,stay,down,requireCoin
198,900,3690,5410,6274
199,900,3645,5455,6287
200,900,3600,5500,6300
201,860,7885,1255,10463
202,860,7840,1300,10476
203,860,7795,1345,10489
204,860,7750,1390,10502
205,860,7705,1435,10515
206,860,7660,1480,10528
207,860,7615,1525,10541
208,860,7570,1570,10554
209,860,7525,1615,10567
210,860,7480,1660,10580
211,860,7435,1705,10593
212,860,7390,1750,10606
213,860,7345,1795,10619
214,860,7300,1840,10632
215,860,7255,1885,10645
216,860,7210,1930,10658
217,860,7165,1975,10671
218,860,7120,2020,10684
219,860,7075,2065,10697
220,860,7030,2110,10710
221,860,6985,2155,10723
222,860,6940,2200,10736
223,860,6895,2245,10749
224,860,6850,2290,10762
225,860,6805,2335,10775
226,860,6760,2380,10788
227,860,6715,2425,10801
228,860,6670,2470,10814
229,860,6625,2515,10827
230,860,6580,2560,10840
231,860,6535,2605,10853
232,860,6490,2650,10866
233,860,6445,2695,10879
234,860,6400,2740,10892
235,860,6355,2785,10905
236,860,6310,2830,10918
237,860,6265,2875,10931
238,860,6220,2920,10944
239,860,6175,2965,10957
240,860,6130,3010,10970
241,860,6085,3055,10983
242,860,6040,3100,10996
243,860,5995,3145,11009
244,860,5950,3190,11022
245,860,5905,3235,11035
246,860,5860,3280,11048
247,860,5815,3325,11061
248,860,5770,3370,11074
249,860,5725,3415,11087
250,860,5680,3460,11100
251,860,5635,3505,11113
252,860,5590,3550,11126
253,860,5545,3595,11139
254,860,5500,3640,11152
255,860,5455,3685,11165
256,860,5410,3730,11178
257,860,5365,3775,11191
258,860,5320,3820,11204
259,860,5275,3865,11217
260,860,5230,3910,11230
261,860,5185,3955,11243
262,860,5140,4000,11256
263,860,5095,4045,11269
264,860,5050,4090,11282
265,860,5005,4135,11295
266,860,4960,4180,11308
267,860,4915,4225,11321
268,860,4870,4270,11334
269,860,4825,4315,11347
270,860,4780,4360,11360
271,860,4735,4405,11373
272,860,4690,4450,11386
273,860,4645,4495,11399
274,860,4600,4540,11412
275,860,4555,4585,11425
276,860,4510,4630,11438
277,860,4465,4675,11451
278,860,4420,4720,11464
279,860,4375,4765,11477
280,860,4330,4810,11490
281,860,4285,4855,11503
282,860,4240,4900,11516
283,860,4195,4945,11529
284,860,4150,4990,11542
285,860,4105,5035,11555
286,860,4060,5080,11568
287,860,4015,5125,11581
288,860,3970,5170,11594
289,860,3925,5215,11607
290,860,3880,5260,11620
291,860,3835,5305,11633
292,860,3790,5350,11646
293,860,3745,5395,11659
294,860,3700,5440,11672
295,860,3655,5485,11685
296,860,3610,5530,11698
297,860,3565,5575,11711
298,860,3520,5620,11724
299,860,3475,5665,11737
300,860,3430,5710,11750
301,820,7715,1465,15913
302,820,7670,1510,15926
303,820,7625,1555,15939
304,820,7580,1600,15952
305,820,7535,1645,15965
306,820,7490,1690,15978
307,820,7445,1735,15991
308,820,7400,1780,16004
309,820,7355,1825,16017
310,820,7310,1870,16030
311,820,7265,1915,16043
312,820,7220,1960,16056
313,820,7175,2005,16069
314,820,7130,2050,16082
315,820,7085,2095,16095
316,820,7040,2140,16108
317,820,6995,2185,16121
318,820,6950,2230,16134
319,820,6905,2275,16147
320,820,6860,2320,16160
321,820,6815,2365,16173
322,820,6770,2410,16186
323,820,6725,2455,16199
324,820,6680,2500,16212
325,820,6635,2545,16225
326,820,6590,2590,16238
327,820,6545,2635,16251
328,820,6500,2680,16264
329,820,6455,2725,16277
330,820,6410,2770,16290
331,820,6365,2815,16303
332,820,6320,2860,16316
333,820,6275,2905,16329
334,820,6230,2950,16342
335,820,6185,2995,16355
336,820,6140,3040,16368
337,820,6095,3085,16381
338,820,6050,3130,16394
339,820,6005,3175,16407
340,820,5960,3220,16420
341,820,5915,3265,16433
342,820,5870,3310,16446
343,820,5825,3355,16459
344,820,5780,3400,16472
345,820,5735,3445,16485
346,820,5690,3490,16498
347,820,5645,3535,16511
348,820,5600,3580,16524
349,820,5555,3625,16537
350,820,5510,3670,16550
351,820,5465,3715,16563
352,820,5420,3760,16576
353,820,5375,3805,16589
354,820,5330,3850,16602
355,820,5285,3895,16615
356,820,5240,3940,16628
357,820,5195,3985,16641
358,820,5150,4030,16654
359,820,5105,4075,16667
360,820,5060,4120,16680
361,820,5015,4165,16693
362,820,4970,4210,16706
363,820,4925,4255,16719
364,820,4880,4300,16732
365,820,4835,4345,16745
366,820,4790,4390,16758
367,820,4745,4435,16771
368,820,4700,4480,16784
369,820,4655,4525,16797
370,820,4610,4570,16810
371,820,4565,4615,16823
372,820,4520,4660,16836
373,820,4475,4705,16849
374,820,4430,4750,16862
375,820,4385,4795,16875
376,820,4340,4840,16888
377,820,4295,4885,16901
378,820,4250,4930,16914
379,820,4205,4975,16927
380,820,4160,5020,16940
381,820,4115,5065,16953
382,820,4070,5110,16966
383,820,4025,5155,16979
384,820,3980,5200,16992
385,820,3935,5245,17005
386,820,3890,5290,17018
387,820,3845,5335,17031
388,820,3800,5380,17044
389,820,3755,5425,17057
390,820,3710,5470,17070
391,820,3665,5515,17083
392,820,3620,5560,17096
393,820,3575,5605,17109
394,820,3530,5650,17122
395,820,3485,5695,17135
396,820,3440,5740,17148
397,820,3395,5785,17161
398,820,3350,5830,17174
399,820,3305,5875,17187
400,820,3260,5920,17200
401,780,7545,1675,21363
402,780,7500,1720,21376
403,780,7455,1765,21389
404,780,7410,1810,21402
405,780,7365,1855,21415
406,780,7320,1900,21428
407,780,7275,1945,21441
408,780,7230,1990,21454
409,780,7185,2035,21467
410,780,7140,2080,21480
411,780,7095,2125,21493
412,780,7050,2170,21506
413,780,7005,2215,21519
414,780,6960,2260,21532
415,780,6915,2305,21545
416,780,6870,2350,21558
417,780,6825,2395,21571
418,780,6780,2440,21584
419,780,6735,2485,21597
420,780,6690,2530,21610
421,780,6645,2575,21623
422,780,6600,2620,21636
423,780,6555,2665,21649
424,780,6510,2710,21662
425,780,6465,2755,21675
426,780,6420,2800,21688
427,780,6375,2845,21701
428,780,6330,2890,21714
429,780,6285,2935,21727
430,780,6240,2980,21740
431,780,6195,3025,21753
432,780,6150,3070,21766
433,780,6105,3115,21779
434,780,6060,3160,21792
435,780,6015,3205,21805
436,780,5970,3250,21818
437,780,5925,3295,21831
438,780,5880,3340,21844
439,780,5835,3385,21857
440,780,5790,3430,21870
441,780,5745,3475,21883
442,780,5700,3520,21896
443,780,5655,3565,21909
444,780,5610,3610,21922
445,780,5565,3655,21935
446,780,5520,3700,21948
447,780,5475,3745,21961
448,780,5430,3790,21974
449,780,5385,3835,21987
450,780,5340,3880,22000
451,780,5295,3925,22013
452,780,5250,3970,22026
453,780,5205,4015,22039
454,780,5160,4060,22052
455,780,5115,4105,22065
456,780,5070,4150,22078
457,780,5025,4195,22091
458,780,4980,4240,22104
459,780,4935,4285,22117
460,780,4890,4330,22130
461,780,4845,4375,22143
462,780,4800,4420,22156
463,780,4755,4465,22169
464,780,4710,4510,22182
465,780,4665,4555,22195
466,780,4620,4600,22208
467,780,4575,4645,22221
468,780,4530,4690,22234
469,780,4485,4735,22247
470,780,4440,4780,22260
471,780,4395,4825,22273
472,780,4350,4870,22286
473,780,4305,4915,22299
474,780,4260,4960,22312
475,780,4215,5005,22325
476,780,4170,5050,22338
477,780,4125,5095,22351
478,780,4080,5140,22364
479,780,4035,5185,22377
480,780,3990,5230,22390
481,780,3945,5275,22403
482,780,3900,5320,22416
483,780,3855,5365,22429
484,780,3810,5410,22442
485,780,3765,5455,22455
486,780,3720,5500,22468
487,780,3675,5545,22481
488,780,3630,5590,22494
489,780,3585,5635,22507
490,780,3540,5680,22520
491,780,3495,5725,22533
492,780,3450,5770,22546
493,780,3405,5815,22559
494,780,3360,5860,22572
495,780,3315,5905,22585
496,780,3270,5950,22598
497,780,3225,5995,22611
498,780,3180,6040,22624
499,780,3135,6085,22637
500,780,3090,6130,22650
501,740,7375,1885,26813
502,740,7330,1930,26826
503,740,7285,1975,26839
504,740,7240,2020,26852
505,740,7195,2065,26865
506,740,7150,2110,26878
507,740,7105,2155,26891
508,740,7060,2200,26904
509,740,7015,2245,26917
510,740,6970,2290,26930
511,740,6925,2335,26943
512,740,6880,2380,26956
513,740,6835,2425,26969
514,740,6790,2470,26982
515,740,6745,2515,26995
516,740,6700,2560,27008
517,740,6655,2605,27021
518,740,6610,2650,27034
519,740,6565,2695,27047
520,740,6520,2740,27060
521,740,6475,2785,27073
522,740,6430,2830,27086
523,740,6385,2875,27099
524,740,6340,2920,27112
525,740,6295,2965,27125
526,740,6250,3010,27138
527,740,6205,3055,27151
528,740,6160,3100,27164
529,740,6115,3145,27177
530,740,6070,3190,27190
531,740,6025,3235,27203
532,740,5980,3280,27216
533,740,5935,3325,27229
534,740,5890,3370,27242
535,740,5845,3415,27255
536,740,5800,3460,27268
537,740,5755,3505,27281
538,740,5710,3550,27294
539,740,5665,3595,27307
540,740,5620,3640,27320
541,740,5575,3685,27333
542,740,5530,3730,27346
543,740,5485,3775,27359
544,740,5440,3820,27372
545,740,5395,3865,27385
546,740,5350,3910,27398
547,740,5305,3955,27411
548,740,5260,4000,27424
549,740,5215,4045,27437
550,740,5170,4090,27450
551,740,5125,4135,27463
552,740,5080,4180,27476
553,740,5035,4225,27489
554,740,4990,4270,27502
555,740,4945,4315,27515
556,740,4900,4360,27528
557,740,4855,4405,27541
558,740,4810,4450,27554
559,740,4765,4495,27567
560,740,4720,4540,27580
561,740,4675,4585,27593
562,740,4630,4630,27606
563,740,4585,4675,27619
564,740,4540,4720,27632
565,740,4495,4765,27645
566,740,4450,4810,27658
567,740,4405,4855,27671
568,740,4360,4900,27684
569,740,4315,4945,27697
570,740,4270,4990,27710
571,740,4225,5035,27723
572,740,4180,5080,27736
573,740,4135,5125,27749
574,740,4090,5170,27762
575,740,4045,5215,27775
576,740,4000,5260,27788
577,740,3955,5305,27801
578,740,3910,5350,27814
579,740,3865,5395,27827
580,740,3820,5440,27840
581,740,3775,5485,27853
582,740,3730,5530,27866
583,740,3685,5575,27879
584,740,3640,5620,27892
585,740,3595,5665,27905
586,740,3550,5710,27918
587,740,3505,5755,27931
588,740,3460,5800,27944
589,740,3415,5845,27957
590,740,3370,5890,27970
591,740,3325,5935,27983
592,740,3280,5980,27996
593,740,3235,6025,28009
594,740,3190,6070,28022
595,740,3145,6115,28035
596,740,3100,6160,28048
597,740,3055,6205,28061
598,740,3010,6250,28074
599,740,2965,6295,28087
600,740,2920,6340,28100
601,700,7205,2095,32263
602,700,7160,2140,32276
603,700,7115,2185,32289
604,700,7070,2230,32302
605,700,7025,2275,32315
606,700,6980,2320,32328
607,700,6935,2365,32341
608,700,6890,2410,32354
609,700,6845,2455,32367
610,700,6800,2500,32380
611,700,6755,2545,32393
612,700,6710,2590,32406
613,700,6665,2635,32419
614,700,6620,2680,32432
615,700,6575,2725,32445
616,700,6530,2770,32458
617,700,6485,2815,32471
618,700,6440,2860,32484
619,700,6395,2905,32497
620,700,6350,2950,32510
621,700,6305,2995,32523
622,700,6260,3040,32536
623,700,6215,3085,32549
624,700,6170,3130,32562
625,700,6125,3175,32575
626,700,6080,3220,32588
627,700,6035,3265,32601
628,700,5990,3310,32614
629,700,5945,3355,32627
630,700,5900,3400,32640
631,700,5855,3445,32653
632,700,5810,3490,32666
633,700,5765,3535,32679
634,700,5720,3580,32692
635,700,5675,3625,32705
636,700,5630,3670,32718
637,700,5585,3715,32731
638,700,5540,3760,32744
639,700,5495,3805,32757
640,700,5450,3850,32770
641,700,5405,3895,32783
642,700,5360,3940,32796
643,700,5315,3985,32809
644,700,5270,4030,32822
645,700,5225,4075,32835
646,700,5180,4120,32848
647,700,5135,4165,32861
648,700,5090,4210,32874
649,700,5045,4255,32887
650,700,5000,4300,32900
651,700,4955,4345,32913
652,700,4910,4390,32926
653,700,4865,4435,32939
654,700,4820,4480,32952
655,700,4775,4525,32965
656,700,4730,4570,32978
657,700,4685,4615,32991
658,700,4640,4660,33004
659,700,4595,4705,33017
660,700,4550,4750,33030
661,700,4505,4795,33043
662,700,4460,4840,33056
663,700,4415,4885,33069
664,700,4370,4930,33082
665,700,4325,4975,33095
666,700,4280,5020,33108
667,700,4235,5065,33121
668,700,4190,5110,33134
669,700,4145,5155,33147
670,700,4100,5200,33160
671,700,4055,5245,33173
672,700,4010,5290,33186
673,700,3965,5335,33199
674,700,3920,5380,33212
675,700,3875,5425,33225
676,700,3830,5470,33238
677,700,3785,5515,33251
678,700,3740,5560,33264
679,700,3695,5605,33277
680,700,3650,5650,33290
681,700,3605,5695,33303
682,700,3560,5740,33316
683,700,3515,5785,33329
684,700,3470,5830,33342
685,700,3425,5875,33355
686,700,3380,5920,33368
687,700,3335,5965,33381
688,700,3290,6010,33394
689,700,3245,6055,33407
690,700,3200,6100,33420
691,700,3155,6145,33433
692,700,3110,6190,33446
693,700,3065,6235,33459
694,700,3020,6280,33472
695,700,2975,6325,33485
696,700,2930,6370,33498
697,700,2885,6415,33511
698,700,2840,6460,33524
699,700,2795,6505,33537
700,700,2750,6550,33550
701,660,7035,2305,37713
702,660,6990,2350,37726
703,660,6945,2395,37739
704,660,6900,2440,37752
705,660,6855,2485,37765
706,660,6810,2530,37778
707,660,6765,2575,37791
708,660,6720,2620,37804
709,660,6675,2665,37817
710,660,6630,2710,37830
711,660,6585,2755,37843
712,660,6540,2800,37856
713,660,6495,2845,37869
714,660,6450,2890,37882
715,660,6405,2935,37895
716,660,6360,2980,37908
717,660,6315,3025,37921
718,660,6270,3070,37934
719,660,6225,3115,37947
720,660,6180,3160,37960
721,660,6135,3205,37973
722,660,6090,3250,37986
723,660,6045,3295,37999
724,660,6000,3340,38012
725,660,5955,3385,38025
726,660,5910,3430,38038
727,660,5865,3475,38051
728,660,5820,3520,38064
729,660,5775,3565,38077
730,660,5730,3610,38090
731,660,5685,3655,38103
732,660,5640,3700,38116
733,660,5595,3745,38129
734,660,5550,3790,38142
735,660,5505,3835,38155
736,660,5460,3880,38168
737,660,5415,3925,38181
738,660,5370,3970,38194
739,660,5325,4015,38207
740,660,5280,4060,38220
741,660,5235,4105,38233
742,660,5190,4150,38246
743,660,5145,4195,38259
744,660,5100,4240,38272
745,660,5055,4285,38285
746,660,5010,4330,38298
747,660,4965,4375,38311
748,660,4920,4420,38324
749,660,4875,4465,38337
750,660,4830,4510,38350
751,660,4785,4555,38363
752,660,4740,4600,38376
753,660,4695,4645,38389
754,660,4650,4690,38402
755,660,4605,4735,38415
756,660,4560,4780,38428
757,660,4515,4825,38441
758,660,4470,4870,38454
759,660,4425,4915,38467
760,660,4380,4960,38480
761,660,4335,5005,38493
762,660,4290,5050,38506
763,660,4245,5095,38519
764,660,4200,5140,38532
765,660,4155,5185,38545
766,660,4110,5230,38558
767,660,4065,5275,38571
768,660,4020,5320,38584
769,660,3975,5365,38597
770,660,3930,5410,38610
771,660,3885,5455,38623
772,660,3840,5500,38636
773,660,3795,5545,38649
774,660,3750,5590,38662
775,660,3705,5635,38675
776,660,3660,5680,38688
777,660,3615,5725,38701
778,660,3570,5770,38714
779,660,3525,5815,38727
780,660,3480,5860,38740
781,660,3435,5905,38753
782,660,3390,5950,38766
783,660,3345,5995,38779
784,660,3300,6040,38792
785,660,3255,6085,38805
786,660,3210,6130,38818
787,660,3165,6175,38831
788,660,3120,6220,38844
789,660,3075,6265,38857
790,660,3030,6310,38870
791,660,2985,6355,38883
792,660,2940,6400,38896
793,660,2895,6445,38909
794,660,2850,6490,38922
795,660,2805,6535,38935
796,660,2760,6580,38948
797,660,2715,6625,38961
798,660,2670,6670,38974
799,660,2625,6715,38987
800,660,2580,6760,39000
801,620,6865,2515,43163
802,620,6820,2560,43176
803,620,6775,2605,43189
804,620,6730,2650,43202
805,620,6685,2695,43215
806,620,6640,2740,43228
807,620,6595,2785,43241
808,620,6550,2830,43254
809,620,6505,2875,43267
810,620,6460,2920,43280
811,620,6415,2965,43293
812,620,6370,3010,43306
813,620,6325,3055,43319
814,620,6280,3100,43332
815,620,6235,3145,43345
816,620,6190,3190,43358
817,620,6145,3235,43371
818,620,6100,3280,43384
819,620,6055,3325,43397
820,620,6010,3370,43410
821,620,5965,3415,43423
822,620,5920,3460,43436
823,620,5875,3505,43449
824,620,5830,3550,43462
825,620,5785,3595,43475
826,620,5740,3640,43488
827,620,5695,3685,43501
828,620,5650,3730,43514
829,620,5605,3775,43527
830,620,5560,3820,43540
831,620,5515,3865,43553
832,620,5470,3910,43566
833,620,5425,3955,43579
834,620,5380,4000,43592
835,620,5335,4045,43605
836,620,5290,4090,43618
837,620,5245,4135,43631
838,620,5200,4180,43644
839,620,5155,4225,43657
840,620,5110,4270,43670
841,620,5065,4315,43683
842,620,5020,4360,43696
843,620,4975,4405,43709
844,620,4930,4450,43722
845,620,4885,4495,43735
846,620,4840,4540,43748
847,620,4795,4585,43761
848,620,4750,4630,43774
849,620,4705,4675,43787
850,620,4660,4720,43800
851,620,4615,4765,43813
852,620,4570,4810,43826
853,620,4525,4855,43839
854,620,4480,4900,43852
855,620,4435,4945,43865
856,620,4390,4990,43878
857,620,4345,5035,43891
858,620,4300,5080,43904
859,620,4255,5125,43917
860,620,4210,5170,43930
861,620,4165,5215,43943
862,620,4120,5260,43956
863,620,4075,5305,43969
864,620,4030,5350,43982
865,620,3985,5395,43995
866,620,3940,5440,44008
867,620,3895,5485,44021
868,620,3850,5530,44034
869,620,3805,5575,44047
870,620,3760,5620,44060
871,620,3715,5665,44073
872,620,3670,5710,44086
873,620,3625,5755,44099
874,620,3580,5800,44112
875,620,3535,5845,44125
876,620,3490,5890,44138
877,620,3445,5935,44151
878,620,3400,5980,44164
879,620,3355,6025,44177
880,620,3310,6070,44190
881,620,3265,6115,44203
882,620,3220,6160,44216
883,620,3175,6205,44229
884,620,3130,6250,44242
885,620,3085,6295,44255
886,620,3040,6340,44268
887,620,2995,6385,44281
888,620,2950,6430,44294
889,620,2905,6475,44307
890,620,2860,6520,44320
891,620,2815,6565,44333
892,620,2770,6610,44346
893,620,2725,6655,44359
894,620,2680,6700,44372
895,620,2635,6745,44385
896,620,2590,6790,44398
897,620,2545,6835,44411
898,620,2500,6880,44424
899,620,2455,6925,44437
900,620,2410,6970,44450
901,580,6695,2725,48613
902,580,6650,2770,48626
903,580,6605,2815,48639
904,580,6560,2860,48652
905,580,6515,2905,48665
906,580,6470,2950,48678
907,580,6425,2995,48691
908,580,6380,3040,48704
909,580,6335,3085,48717
910,580,6290,3130,48730
911,580,6245,3175,48743
912,580,6200,3220,48756
913,580,6155,3265,48769
914,580,6110,3310,48782
915,580,6065,3355,48795
916,580,6020,3400,48808
917,580,5975,3445,48821
918,580,5930,3490,48834
919,580,5885,3535,48847
920,580,5840,3580,48860
921,580,5795,3625,48873
922,580,5750,3670,48886
923,580,5705,3715,48899
924,580,5660,3760,48912
925,580,5615,3805,48925
926,580,5570,3850,48938
927,580,5525,3895,48951
928,580,5480,3940,48964
929,580,5435,3985,48977
930,580,5390,4030,48990
931,580,5345,4075,49003
932,580,5300,4120,49016
933,580,5255,4165,49029
934,580,5210,4210,49042
935,580,5165,4255,49055
936,580,5120,4300,49068
937,580,5075,4345,49081
938,580,5030,4390,49094
939,580,4985,4435,49107
940,580,4940,4480,49120
941,580,4895,4525,49133
942,580,4850,4570,49146
943,580,4805,4615,49159
944,580,4760,4660,49172
945,580,4715,4705,49185
946,580,4670,4750,49198
947,580,4625,4795,49211
948,580,4580,4840,49224
949,580,4535,4885,49237
950,580,4490,4930,49250
951,580,4445,4975,49263
952,580,4400,5020,49276
953,580,4355,5065,49289
954,580,4310,5110,49302
955,580,4265,5155,49315
956,580,4220,5200,49328
957,580,4175,5245,49341
958,580,4130,5290,49354
959,580,4085,5335,49367
960,580,4040,5380,49380
961,580,3995,5425,49393
962,580,3950,5470,49406
963,580,3905,5515,49419
964,580,3860,5560,49432
965,580,3815,5605,49445
966,580,3770,5650,49458
967,580,3725,5695,49471
968,580,3680,5740,49484
969,580,3635,5785,49497
970,580,3590,5830,49510
971,580,3545,5875,49523
972,580,3500,5920,49536
973,580,3455,5965,49549
974,580,3410,6010,49562
975,580,3365,6055,49575
976,580,3320,6100,49588
977,580,3275,6145,49601
978,580,3230,6190,49614
979,580,3185,6235,49627
980,580,3140,6280,49640
981,580,3095,6325,49653
982,580,3050,6370,49666
983,580,3005,6415,49679
984,580,2960,6460,49692
985,580,2915,6505,49705
986,580,2870,6550,49718
987,580,2825,6595,49731
988,580,2780,6640,49744
989,580,2735,6685,49757
990,580,2690,6730,49770
991,580,2645,6775,49783
992,580,2600,6820,49796
993,580,2555,6865,49809
994,580,2510,6910,49822
995,580,2465,6955,49835
996,580,2420,7000,49848
997,580,2375,7045,49861
998,580,2330,7090,49874
999,580,2285,7135,49887
